Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C10_MVECS_1	10/269	4.050203e-03	4.498618e-02	2.912970e+00	1.604752e+01	KLF7;NFIA;F2R;MAST4;NDRG1;FILIP1;PTPRM;FOXC1;PLAT;CAV1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C11_HEPATOCYTES_1	5/298	3.854008e-01	6.210344e-01	1.350563e+00	1.287723e+00	PHYH;PROZ;GRHPR;HLF;ORM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C12_NK_NKT_CELLS_4	3/49	2.931004e-02	1.544042e-01	5.208925e+00	1.838659e+01	IFNG;IL2RB;HSPD1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C13_LSECS_2	7/283	9.440595e-02	3.123431e-01	1.954808e+00	4.613642e+00	KLF7;F2R;FILIP1;SGSM1;FSCN1;ADD3;MAF
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C14_HEPATOCYTES_2	3/226	5.992047e-01	7.514811e-01	1.128482e+00	5.779546e-01	GRHPR;PHYH;ORM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C17_HEPATOCYTES_3	1/102	7.550955e-01	8.307533e-01	1.067557e+00	2.998885e-01	ORM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C18_NK_NKT_CELLS_5	2/121	4.941713e-01	6.922851e-01	1.505024e+00	1.060850e+00	JARID2;HSPD1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C1_NK_NKT_CELLS_1	7/157	5.916263e-03	5.492411e-02	3.540673e+00	1.816383e+01	IL2RB;NLRC5;TBX21;FYN;CCR5;CBLB;PRDM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C20_LSECS_3	7/295	1.109674e-01	3.290064e-01	1.874307e+00	4.120699e+00	IFI16;KLF7;NDRG1;MAST4;FILIP1;ETS2;FOXC1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C21_STELLATE_CELLS_1	4/194	2.741969e-01	5.247706e-01	1.698436e+00	2.197621e+00	NFIA;GLUL;CCDC3;CAV1
