Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C10_MVECS_1	1/269	5.182809e-01	6.137809e-01	2.057786e+00	1.352455e+00	FLT1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C13_LSECS_2	3/283	4.075916e-02	3.448966e-01	4.734979e+00	1.515229e+01	FLT1;MYO10;HIPK2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C18_NK_NKT_CELLS_5	1/121	2.791627e-01	5.037704e-01	4.597916e+00	5.866759e+00	TNFRSF1B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C1_NK_NKT_CELLS_1	1/157	3.463022e-01	5.106058e-01	3.540673e+00	3.754684e+00	TNFRSF1B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C20_LSECS_3	4/295	8.170109e-03	1.779917e-01	5.950471e+00	2.860554e+01	FLT1;MIR4435-2HG;MYO10;HIPK2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C23_KUPFFER_CELLS_3	2/221	1.194442e-01	4.610113e-01	4.260986e+00	9.054193e+00	AHR;TNFRSF1B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3	1/185	3.942406e-01	5.465608e-01	3.002077e+00	2.794315e+00	DUSP4
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C25_KUPFFER_CELLS_4	2/174	7.998112e-02	4.275350e-01	5.421230e+00	1.369384e+01	AHR;TNFRSF1B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C28_NK_NKT_CELLS_6	3/99	2.416346e-03	1.052837e-01	1.361441e+01	8.203358e+01	CREM;DUSP4;NR3C1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C29_MVECS_2	1/313	5.729235e-01	6.308364e-01	1.765111e+00	9.831724e-01	FLT1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C2_KUPFFER_CELLS_1	3/200	1.672454e-02	2.217819e-01	6.722693e+00	2.750172e+01	AHR;TNFRSF1B;BCAT1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C31_KUPFFER_CELLS_5	1/120	2.772042e-01	5.037704e-01	4.636301e+00	5.948378e+00	TNFRSF1B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C4_EPCAM_POS_BILE_DUCT_CELLS_1	2/191	9.371899e-02	4.575224e-01	4.935824e+00	1.168534e+01	MYO10;TMPRSS2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C6_KUPFFER_CELLS_2	2/228	1.256810e-01	4.618398e-01	4.129021e+00	8.563624e+00	TNFRSF1B;BCAT1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	2/219	1.176773e-01	4.601483e-01	4.300236e+00	9.201686e+00	MYO10;TMPRSS2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C9_LSECS_1	3/304	4.862636e-02	3.450421e-01	4.403831e+00	1.331538e+01	FLT1;MYO10;HIPK2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_IMMUNE_CELLS	4/911	2.297462e-01	5.037704e-01	1.870037e+00	2.750414e+00	CCR9;CREM;MYO5A;NR3C1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_STEM_CELLS	1/311	5.705774e-01	6.308364e-01	1.776621e+00	9.968734e-01	MYO10
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS	1/214	4.402506e-01	5.812832e-01	2.592481e+00	2.126900e+00	VOPP1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_IMMUNE_CELLS	10/1492	5.972788e-03	1.779917e-01	2.926401e+00	1.498476e+01	TNFRSF1B;DHX9;RNF38;MYO5A;VOPP1;NR3C1;TBL1XR1;CREM;AHR;DUSP4
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_ISTHMUS_CELLS	1/458	7.133331e-01	7.358363e-01	1.198193e+00	4.047577e-01	MYO10
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	1/100	2.369186e-01	5.037704e-01	5.564426e+00	8.012988e+00	TMPRSS2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_PARIETAL_CELLS	1/254	4.981276e-01	6.062018e-01	2.180692e+00	1.519722e+00	DUSP4
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	1/121	2.791627e-01	5.037704e-01	4.597916e+00	5.866759e+00	TMPRSS2
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_C4_ENDOTHELIAL_CELL	1/146	3.264668e-01	5.106058e-01	3.808592e+00	4.263441e+00	FLT1
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_C5_VALVAR_CELL	1/205	4.263516e-01	5.740684e-01	2.707226e+00	2.307885e+00	AHR
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_C7_MAST_CELL	1/156	3.445229e-01	5.106058e-01	3.563473e+00	3.797218e+00	CREM
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_C8_MACROPHAGE	2/275	1.693320e-01	5.037704e-01	3.416643e+00	6.067595e+00	TNFRSF1B;NINJ1
