Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	1/305	1.397553e-01	2.254323e-01	1.039547e+01	2.045685e+01	RPL35
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_IMMUNE_CELLS	1/911	3.665270e-01	3.816415e-01	3.379190e+00	3.391636e+00	RPL35
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_STEM_CELLS	1/311	1.423186e-01	2.254323e-01	1.019219e+01	1.987159e+01	RPL35
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	1/194	9.107220e-02	2.190070e-01	1.641821e+01	3.933972e+01	RPL35
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_IMMUNE_CELLS	2/1492	1.626241e-01	2.380439e-01	3.729727e+00	6.774356e+00	VAV3;CCR2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_ISTHMUS_CELLS	1/458	2.030127e-01	2.668131e-01	6.873845e+00	1.096025e+01	RPL35
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	1/111	5.306437e-02	2.190070e-01	2.875738e+01	8.443883e+01	RPL35
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	1/121	5.771817e-02	2.190070e-01	2.637752e+01	7.523351e+01	RPL35
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_CEREBRUM_VASCULAR_ENDOTHELIAL_CELLS	1/593	2.553172e-01	2.960482e-01	5.274376e+00	7.200834e+00	MYOM2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS	1/170	8.022566e-02	2.190070e-01	1.875150e+01	4.730839e+01	MYOM2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_EYE_SMOOTH_MUSCLE_CELLS	1/77	3.708627e-02	2.190070e-01	4.144278e+01	1.365336e+02	DLGAP1-AS1
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS	1/111	5.306437e-02	2.190070e-01	2.875738e+01	8.443883e+01	TNFRSF8
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_HEART_MYELOID_CELLS	1/136	6.466030e-02	2.190070e-01	2.346154e+01	6.425195e+01	CCR2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_INTESTINE_INTESTINAL_EPITHELIAL_CELLS	1/279	1.285675e-01	2.223113e-01	1.137718e+01	2.333802e+01	LHFPL3-AS2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_INTESTINE_MESOTHELIAL_CELLS	1/88	4.228201e-02	2.190070e-01	3.627208e+01	1.147429e+02	TNFRSF8
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	1/230	1.071262e-01	2.208112e-01	1.382932e+01	3.089120e+01	CCR2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_KIDNEY_LYMPHOID_CELLS	1/211	9.868537e-02	2.208112e-01	1.508585e+01	3.493610e+01	MYOM2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_KIDNEY_MYELOID_CELLS	1/218	1.018035e-01	2.208112e-01	1.459749e+01	3.335106e+01	CCR2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_LUNG_BRONCHIOLAR_AND_ALVEOLAR_EPITHELIAL_CELLS	1/70	3.376670e-02	2.190070e-01	4.557335e+01	1.544153e+02	LHFPL3-AS2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_LUNG_CILIATED_EPITHELIAL_CELLS	1/541	2.355478e-01	2.937078e-01	5.796034e+00	8.380146e+00	TP73
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS	1/129	6.142639e-02	2.190070e-01	2.473826e+01	6.901767e+01	LHFPL3-AS2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_PANCREAS_MYELOID_CELLS	1/235	1.093357e-01	2.208581e-01	1.353235e+01	2.995159e+01	CCR2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_PLACENTA_IGFBP1_DKK1_POSITIVE_CELLS	1/117	5.585913e-02	2.190070e-01	2.728085e+01	7.870314e+01	TNFRSF8
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_STOMACH_MUC13_DMBT1_POSITIVE_CELLS	1/97	4.651428e-02	2.190070e-01	3.290931e+01	1.009656e+02	LHFPL3-AS2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_CILIATED_EPITHELIAL_CELLS	1/679	2.870049e-01	3.150815e-01	4.586848e+00	5.725560e+00	TP73
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_EPICARDIAL_FAT_CELLS	1/52	2.518331e-02	2.190070e-01	6.125263e+01	2.255061e+02	TNFRSF8
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_LYMPHATIC_ENDOTHELIAL_CELLS	1/89	4.275309e-02	2.190070e-01	3.586504e+01	1.130579e+02	ANKDD1A
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_SKELETAL_MUSCLE_CELLS	1/194	9.107220e-02	2.190070e-01	1.641821e+01	3.933972e+01	MYOM2
c8.all.v2023.2.Hs.symbols.gmt	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS	1/84	4.039557e-02	2.190070e-01	3.799657e+01	1.219323e+02	MYOM2
c8.all.v2023.2.Hs.symbols.gmt	FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	1/499	2.192368e-01	2.802458e-01	6.296665e+00	9.555837e+00	TP73
