Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C10_MVECS_1	1/269	2.630213e-01	3.292103e-01	4.984416e+00	6.656788e+00	PDLIM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C13_LSECS_2	1/283	2.747157e-01	3.327984e-01	4.734979e+00	6.117682e+00	PDLIM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C18_NK_NKT_CELLS_5	1/121	1.278385e-01	2.530383e-01	1.113717e+01	2.290903e+01	ZEB2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C1_NK_NKT_CELLS_1	2/157	1.337032e-02	7.873634e-02	1.495866e+01	6.454238e+01	STK10;SLA
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C20_LSECS_3	3/295	4.267969e-03	5.578141e-02	1.162680e+01	6.344300e+01	ZEB2;B4GALT5;PDLIM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C23_KUPFFER_CELLS_3	2/221	2.541257e-02	1.197214e-01	1.060292e+01	3.893934e+01	ZEB2;SLA
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C25_KUPFFER_CELLS_4	1/174	1.787683e-01	2.849540e-01	7.734288e+00	1.331585e+01	ZEB2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C28_NK_NKT_CELLS_6	1/99	1.058224e-01	2.432264e-01	1.361441e+01	3.057786e+01	SLA
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C29_MVECS_2	3/313	5.034062e-03	5.908879e-02	1.094943e+01	5.793922e+01	KLF3;B4GALT5;PDLIM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C30_HEPATOCYTES_4	1/446	3.984497e-01	4.287885e-01	2.982083e+00	2.744035e+00	KLF6
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C31_KUPFFER_CELLS_5	1/120	1.268491e-01	2.530383e-01	1.123015e+01	2.318753e+01	ZEB2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C32_MVECS_3	2/125	8.647997e-03	6.797432e-02	1.880246e+01	8.931975e+01	PARP14;PDLIM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4	2/184	1.804728e-02	9.565061e-02	1.275257e+01	5.119850e+01	KLF6;PDLIM1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C3_NK_NKT_CELLS_2	1/162	1.674925e-01	2.752589e-01	8.310359e+00	1.484909e+01	SLA
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C5_NK_NKT_CELLS_3	1/126	1.327694e-01	2.530383e-01	1.069433e+01	2.159338e+01	SLA
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C6_KUPFFER_CELLS_2	2/228	2.692358e-02	1.214426e-01	1.027454e+01	3.713992e+01	ZEB2;SLA
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C9_LSECS_1	2/304	4.551544e-02	1.581848e-01	7.681101e+00	2.373233e+01	PARP14;PDLIM1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	1/305	2.927347e-01	3.400613e-01	4.389198e+00	5.392080e+00	PDLIM1
