Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C10_MVECS_1	5/269	2.898808e-02	5.608271e-01	3.276608e+00	1.160204e+01	RPS6KA2;NPDC1;HES1;DYSF;CD93
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C11_HEPATOCYTES_1	2/298	5.681817e-01	7.457737e-01	1.311388e+00	7.413461e-01	SERPINE1;INSIG1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C12_NK_NKT_CELLS_4	1/49	2.690036e-01	6.672573e-01	4.766468e+00	6.258518e+00	CST7
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C13_LSECS_2	4/283	1.070312e-01	6.188979e-01	2.526570e+00	5.645962e+00	ZCCHC24;HES1;CD93;NPDC1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C14_HEPATOCYTES_2	2/226	4.228321e-01	7.226387e-01	1.734438e+00	1.492970e+00	INSIG1;CRYL1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C17_HEPATOCYTES_3	1/102	4.795831e-01	7.457737e-01	2.295866e+00	1.687090e+00	SERPINE1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C18_NK_NKT_CELLS_5	1/121	5.393649e-01	7.457737e-01	1.935030e+00	1.194616e+00	GADD45B
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C1_NK_NKT_CELLS_1	1/157	6.345650e-01	7.802029e-01	1.490090e+00	6.777161e-01	CST7
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C20_LSECS_3	4/295	1.196036e-01	6.484533e-01	2.422524e+00	5.144404e+00	LUZP1;CD93;SERPINE1;SBNO2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C21_STELLATE_CELLS_1	1/194	7.120724e-01	8.153501e-01	1.204425e+00	4.089934e-01	SERPINE1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C23_KUPFFER_CELLS_3	2/221	4.118141e-01	7.226387e-01	1.774029e+00	1.573889e+00	CD93;SPTLC2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C29_MVECS_2	4/313	1.395924e-01	6.672573e-01	2.281389e+00	4.492120e+00	LUZP1;CD93;SERPINE1;NPDC1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C30_HEPATOCYTES_4	4/446	3.163571e-01	6.923110e-01	1.591230e+00	1.831321e+00	RALGAPA2;CCNL2;INSIG1;H6PD
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C31_KUPFFER_CELLS_5	2/120	1.778144e-01	6.672573e-01	3.277282e+00	5.659915e+00	GADD45B;H6PD
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C32_MVECS_3	2/125	1.892524e-01	6.672573e-01	3.145938e+00	5.236960e+00	ZCCHC24;NPDC1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4	1/184	6.928983e-01	8.098811e-01	1.270333e+00	4.660497e-01	CTBP2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C3_NK_NKT_CELLS_2	1/162	6.461403e-01	7.855870e-01	1.443885e+00	6.306002e-01	TAGAP
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C4_EPCAM_POS_BILE_DUCT_CELLS_1	1/191	7.064484e-01	8.153501e-01	1.223475e+00	4.251636e-01	HES1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C5_NK_NKT_CELLS_3	2/126	1.915523e-01	6.672573e-01	3.120915e+00	5.157606e+00	CST7;TAGAP
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	2/219	4.073784e-01	7.226387e-01	1.790371e+00	1.607776e+00	PROM1;CTBP2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C9_LSECS_1	4/304	1.294346e-01	6.510867e-01	2.349871e+00	4.804498e+00	LUZP1;HES1;CD93;NPDC1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_EARLY_IMMATURE_ENTEROCYTES	1/113	5.150729e-01	7.457737e-01	2.072236e+00	1.374819e+00	CRYL1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_IMMUNE_CELLS	8/911	2.247821e-01	6.672573e-01	1.485005e+00	2.216553e+00	INSIG1;EIF4H;CARD8;CREBBP;CMTM3;TAGAP;TGOLN2;CST7
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_LATE_IMMATURE_ENTEROCYTES	1/177	6.787277e-01	8.016469e-01	1.320887e+00	5.118904e-01	CRYL1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_MATURE_ENTEROCYTES	3/259	2.284894e-01	6.672573e-01	2.132555e+00	3.148217e+00	PRODH;HOOK2;GADD45B
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_PANETH_CELLS	1/15	9.139268e-02	5.608271e-01	1.524735e+01	3.648066e+01	DEFA5
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_STEM_CELLS	1/311	8.648986e-01	8.956263e-01	7.476899e-01	1.085219e-01	HES1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_TUFT_CELLS	1/81	4.045213e-01	7.226387e-01	2.890423e+00	2.615980e+00	PLCG2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS	1/214	7.469282e-01	8.273984e-01	1.091044e+00	3.183516e-01	INSIG1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	1/79	3.968353e-01	7.226387e-01	2.963430e+00	2.738902e+00	HES1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_ESOPHAGEAL_QUIESCENT_BASAL_CELLS	1/77	3.890509e-01	7.226387e-01	3.040204e+00	2.870090e+00	MEGF6
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_IMMUNE_CELLS	13/1492	1.547058e-01	6.672573e-01	1.456974e+00	2.719049e+00	GFI1;CST7;ITGB1BP1;NOTCH1;CREBBP;CMTM3;SBNO2;CARD8;LUZP1;MFSD10;PIEZO1;TGOLN2;TAGAP
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_ISTHMUS_CELLS	4/458	3.336663e-01	6.941309e-01	1.548653e+00	1.699823e+00	LFNG;HES1;CYP51A1;ZBTB7A
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_MATURE_PIT_CELLS	1/224	7.627517e-01	8.371665e-01	1.041929e+00	2.821781e-01	HES1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_OXYNTIC_ENTEROCHROMAFFIN_LIKE_CELLS	1/85	4.196029e-01	7.226387e-01	2.754657e+00	2.392272e+00	ABCC8
