Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_PARIETAL_CELLS	1/254	4.884269e-02	1.450601e-01	3.395650e+01	1.025198e+02	GMPR
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_X_CELLS	1/191	3.689886e-02	1.450601e-01	4.526856e+01	1.493670e+02	KIF5C
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_CEREBELLUM_MICROGLIA	1/652	1.217500e-01	1.471274e-01	1.298292e+01	2.733925e+01	ZC3H12D
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_CEREBRUM_MEGAKARYOCYTES	1/428	8.125361e-02	1.450601e-01	1.999383e+01	5.018812e+01	GMPR
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_CEREBRUM_MICROGLIA	1/514	9.696339e-02	1.450601e-01	1.658017e+01	3.868854e+01	ZC3H12D
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_INTESTINE_ERYTHROBLASTS	1/162	3.136327e-02	1.450601e-01	5.342374e+01	1.849593e+02	GMPR
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_LUNG_CILIATED_EPITHELIAL_CELLS	1/541	1.018537e-01	1.450601e-01	1.573209e+01	3.593553e+01	ZDHHC11
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_LUNG_MEGAKARYOCYTES	1/179	3.461116e-02	1.450601e-01	4.832352e+01	1.625400e+02	GMPR
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_PANCREAS_ERYTHROBLASTS	1/138	2.676406e-02	1.450601e-01	6.275554e+01	2.272187e+02	GMPR
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_CILIATED_EPITHELIAL_CELLS	1/679	1.265392e-01	1.471274e-01	1.245002e+01	2.573671e+01	ZDHHC11
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_ERYTHROBLASTS	1/244	4.695430e-02	1.450601e-01	3.536284e+01	1.081601e+02	GMPR
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_GRANULE_NEURONS	1/22	4.303277e-03	1.231759e-01	3.885048e+02	2.116721e+03	KIF5C
c8.all.v2023.2.Hs.symbols.gmt	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_IMMATURE_NEURONS	1/140	2.714796e-02	1.450601e-01	6.185613e+01	2.230812e+02	KIF5C
c8.all.v2023.2.Hs.symbols.gmt	FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	1/499	9.423793e-02	1.450601e-01	1.709095e+01	4.036767e+01	KIF5C
c8.all.v2023.2.Hs.symbols.gmt	FAN_EMBRYONIC_CTX_OLIG	1/754	1.397399e-01	1.533731e-01	1.116984e+01	2.198193e+01	ZDHHC11
c8.all.v2023.2.Hs.symbols.gmt	GAO_LARGE_INTESTINE_ADULT_CA_ENTEROENDOCRINE_CELLS	1/312	5.974006e-02	1.450601e-01	2.757463e+01	7.769848e+01	KIF5C
c8.all.v2023.2.Hs.symbols.gmt	HAY_BONE_MARROW_NAIVE_T_CELL	1/405	7.701764e-02	1.450601e-01	2.115219e+01	5.422832e+01	ZC3H12D
c8.all.v2023.2.Hs.symbols.gmt	HAY_BONE_MARROW_PLATELET	1/272	5.223471e-02	1.450601e-01	3.168519e+01	9.353493e+01	GMPR
c8.all.v2023.2.Hs.symbols.gmt	HE_LIM_SUN_FETAL_LUNG_C1_SMG_CELL	1/776	1.435836e-01	1.538395e-01	1.084123e+01	2.104107e+01	GMPR
c8.all.v2023.2.Hs.symbols.gmt	HE_LIM_SUN_FETAL_LUNG_C2_HSC_CELL	1/1636	2.840158e-01	2.840158e-01	4.918816e+00	6.191439e+00	GMPR
c8.all.v2023.2.Hs.symbols.gmt	HE_LIM_SUN_FETAL_LUNG_C2_MEGAKARYOCYTE	1/694	1.291914e-01	1.471274e-01	1.217186e+01	2.490922e+01	GMPR
c8.all.v2023.2.Hs.symbols.gmt	HE_LIM_SUN_FETAL_LUNG_C2_PLATELET_CELL	1/384	7.313724e-02	1.450601e-01	2.233086e+01	5.840452e+01	GMPR
