Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C13_LSECS_2	2/283	1.350010e-02	1.101209e-01	1.544015e+01	6.647074e+01	NID1;CTSL
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C20_LSECS_3	4/295	2.754549e-05	4.021641e-03	3.225781e+01	3.386965e+02	HIF1A;B4GALT5;CTSL;NID1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C28_NK_NKT_CELLS_6	1/99	6.124856e-02	2.045197e-01	2.450593e+01	6.844052e+01	FNBP1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C29_MVECS_2	2/313	1.634304e-02	1.101209e-01	1.394182e+01	5.735600e+01	HIF1A;B4GALT5
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C33_STELLATE_CELLS_2	1/126	7.734105e-02	2.045197e-01	1.924980e+01	4.927045e+01	NID1
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C3_NK_NKT_CELLS_2	2/162	4.607693e-03	7.474702e-02	2.709900e+01	1.457934e+02	FNBP1;BCL2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C9_LSECS_1	3/304	8.367138e-04	2.533845e-02	2.201916e+01	1.560284e+02	HIF1A;NID1;CTSL
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_IMMUNE_CELLS	3/911	1.810207e-02	1.101209e-01	7.133845e+00	2.861905e+01	WNK1;FNBP1;BCL2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_IMMUNE_CELLS	4/1492	1.189606e-02	1.101209e-01	6.006824e+00	2.661953e+01	WNK1;ADAM19;FNBP1;BCL2
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_5TH_WEEK_VENTRICULAR_CARDIOMYOCYTE	1/82	5.098376e-02	2.011791e-01	2.958036e+01	8.803850e+01	WNK1
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_C3_FIBROBLAST_LIKE_CELL	1/117	7.200540e-02	2.045197e-01	2.073345e+01	5.454999e+01	NID1
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE	1/179	1.081920e-01	2.100427e-01	1.353058e+01	3.008997e+01	CTSL
c8.all.v2023.2.Hs.symbols.gmt	CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	1/139	8.499812e-02	2.068288e-01	1.744473e+01	4.300346e+01	CTSL
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_CEREBELLUM_MICROGLIA	1/652	3.442807e-01	3.751118e-01	3.635218e+00	3.876226e+00	CTSL
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_CEREBELLUM_VASCULAR_ENDOTHELIAL_CELLS	1/644	3.408212e-01	3.750857e-01	3.681831e+00	3.963113e+00	NID1
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_EYE_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL_CELLS	1/245	1.452786e-01	2.339680e-01	9.860774e+00	1.902244e+01	B4GALT5
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_HEART_ERYTHROBLASTS	1/283	1.659803e-01	2.399319e-01	8.522963e+00	1.530627e+01	DHX35
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	1/156	9.492270e-02	2.100312e-01	1.553674e+01	3.658425e+01	SLC34A1
