Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS	1/134	4.505169e-02	1.391597e-01	3.480326e+01	1.078882e+02	RPLP2
c8.all.v2023.2.Hs.symbols.gmt	AIZARANI_LIVER_C3_NK_NKT_CELLS_2	1/162	5.424238e-02	1.399934e-01	2.876663e+01	8.383437e+01	RPLP2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	1/305	1.000077e-01	1.719586e-01	1.519338e+01	3.498288e+01	RPLP2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_IMMUNE_CELLS	3/911	2.706969e-03	3.843896e-02	1.664564e+01	9.840778e+01	JAK3;ACTR3;RPLP2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	1/194	6.465309e-02	1.530123e-01	2.399585e+01	6.571789e+01	RPLP2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_IMMUNE_CELLS	5/1492	3.836642e-05	2.724016e-03	2.789836e+01	2.836797e+02	PPM1M;JAK3;ACTR3;RPLP2;VAMP1
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	1/100	3.378873e-02	1.391597e-01	4.665557e+01	1.580517e+02	RPLP2
c8.all.v2023.2.Hs.symbols.gmt	BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	1/121	4.075863e-02	1.391597e-01	3.855176e+01	1.233690e+02	RPLP2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_CEREBELLUM_MICROGLIA	1/652	2.032457e-01	2.290547e-01	6.990805e+00	1.113873e+01	JAK3
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_HEART_ERYTHROBLASTS	1/283	9.309298e-02	1.719586e-01	1.639031e+01	3.891317e+01	MTHFD2
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_MUSCLE_LYMPHOID_CELLS	1/124	4.175080e-02	1.391597e-01	3.761724e+01	1.194737e+02	VAMP1
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_PLACENTA_LYMPHOID_CELLS	1/145	4.867141e-02	1.391597e-01	3.215464e+01	9.719266e+01	VAMP1
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_FETAL_PLACENTA_MYELOID_CELLS	1/146	4.899989e-02	1.391597e-01	3.193358e+01	9.630967e+01	PPM1M
c8.all.v2023.2.Hs.symbols.gmt	DESCARTES_MAIN_FETAL_CLC_IL5RA_POSITIVE_CELLS	1/252	8.327229e-02	1.715047e-01	1.843092e+01	4.581263e+01	PPM1M
c8.all.v2023.2.Hs.symbols.gmt	FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	1/143	4.801415e-02	1.391597e-01	3.260600e+01	9.900029e+01	RPLP2
c8.all.v2023.2.Hs.symbols.gmt	FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	1/161	5.391545e-02	1.399934e-01	2.894618e+01	8.453263e+01	RPLP2
